niche_id,niche_name,domain_name,area_name,description,worth_it_composite,market_size_1_10,growth_tailwind_1_10,openness_1_10,feasibility_1_10,moat_potential_1_10,wave_resilience_1_10,timing_1_10,confidence_0_1,market_estimate_usd_billions_per_year,cost_to_start_usd_thousands,enabling_frontier_shifts,why_now
agent_hosting__mcp_server_hosting,Stateless MCP server hosting and distribution PaaS,Agent Infrastructure,Agent deployment & hosting,"Deploy-from-git hosting for MCP servers with caching, CIMD auth, usage metering, and a discovery registry — 'Vercel for MCP' now that servers deploy like ordina",5.84,2,9,5,8,5,8,9,0.55,0.4,15,MCP standardization,"MCP spec 2026-07-28 removed sessions/handshake, making servers stateless and CDN/load-balancer deployable for the first time; the Aug 22, 2026 MCP roadmap expli"
agent_hosting__windows_desktop_runtime,Windows desktop farms for computer-use agents,Agent Infrastructure,Agent deployment & hosting,"Hosted, snapshot-able Windows/thick-client desktops purpose-built for computer-use agents automating legacy apps (dental PMS, logistics TMS, county government),",5.84,4,8,7,6,5,8,7,0.45,8,40,Cheap computer use,"Computer-use crossed reliability thresholds in 2026 — OSWorld v1 saturated and OSWorld 2.0 shipped Jun 26, 2026, Opus 5 claimed SOTA-at-cost Jul 24, 2026, and C"
generalist_automation__ai_office_manager_practices,AI office manager for professional practices,Operations & Back-office Automation,Generalist AI employees & no-code automation,"A horizontal front-office agent for small professional practices (law, accounting, dental, therapy, vet): phones/intake, scheduling, reminders, billing follow-u",5.84,8,7,4,6,6,6,5,0.55,60,25,Voice crossed threshold; Labor shortages,"2024-25 voice+agent stacks made reliable phone/intake automation real, and persistent admin-staffing shortages push small practices to buy; window open but vert"
vertical_ops_other__postaward_grant_compliance,Post-award grant compliance for nonprofits,Operations & Back-office Automation,Industry back-office (cross-cutting),"AI agents that handle post-award grant administration for nonprofits and small municipalities: spend tracking against budget lines, uniform-guidance compliance,",5.84,6,6,6,6,6,7,6,0.4,15,15,,"2025-26 federal grant scrutiny (clawbacks, tightened uniform-guidance enforcement) turned reporting from an annual chore into an existential risk for grantees, "
materials_climate_sci__siting_grid_intelligence,Siting and grid-capacity intelligence for data centers,Science & Biotech,"Materials, chemistry & earth science","Geospatial platform compiling interconnection queues, substation capacity, land, water, and permitting data into 'where can 200MW actually be delivered, by when",5.84,4,9,6,6,6,7,7,0.5,3,20,,"US data-center load is projected to jump from 176 TWh (4.4% of electricity, 2023) to 325-580 TWh by 2028 (DOE/LBNL, Dec 2024) and grid capacity became the bindi"
robot_software__embodied_safety_monitor,Safety monitoring and evidence layer for humanoid fleets,Robotics & Physical AI,"Robot software, fleet ops & sim","Runtime auditing of agentic robot task plans, anomaly detection, incident black-box recording, and compliance-evidence packs for enterprises deploying humanoids",5.84,1,9,9,5,7,8,8,0.4,0.1,35,Robotics foundation models; Long-horizon agents,"BMW put humanoids into German production (Mar 4, 2026) and GR-2 runs minutes-long autonomous task plans (Jul 30, 2026) — enterprise safety teams and insurers no"
drones_aerial__inspection_report_ai,AI defect analysis for drone service providers,Robotics & Physical AI,Drones & aerial autonomy,"VLM-powered software that turns drone imagery into finished inspection deliverables (defect detection, measurements, client-ready reports) sold to the thousands",5.84,4,7,5,8,5,8,7,0.5,2.5,10,,2025-26 frontier multimodal models made credible zero-/few-shot defect detection and automated report writing possible without a bespoke CV team
trades_home_services__tech_copilot,Voice-first technician copilot for diagnosis and parts,Industry Verticals (Built World & Commerce),Trades & home services,"Hands-free on-truck copilot that ingests make/model/serial, fault history, manuals and wiring diagrams to walk techs through diagnosis, code compliance, and par",5.84,5,8,5,6,7,7,6,0.55,8,25,Voice crossed threshold; Aging demographics; Labor shortages,"2025-26 multimodal voice+vision models (Gemini 3.x, Claude 5 generation) finally make hands-free photo-plus-voice diagnosis workable on a jobsite; trade labor s"
consumer_health__sleep_apnea_funnel,Wearable-alert to sleep-apnea treatment navigator,Consumer AI,Consumer health & coaching,A service that catches the millions of people whose watch just told them they may have sleep apnea and walks them all the way to treatment: mailed home sleep te,5.82,6,8,7,5,6,8,7,0.5,10,60,,"Apple's sleep-apnea notification got FDA clearance Sep 2024 and now ships across Series 9/10/11 (with hypertension notifications added Sep 2025), so consumer we"
services_as_software__ai_medical_billing_firm,AI billing firm for small specialty practices,AI-Native Business Models,Services-as-software firms,"A medical billing company for solo and 2-10 provider specialty practices (derm, ortho, behavioral health) that runs coding, claim submission, denial appeals and",5.82,7,8,4,6,7,8,6,0.65,19.3,35,,"Funded AI RCM platforms in 2026 (Candid $120M Jul, Amperos $16M Apr) are selling upmarket to groups and health systems, leaving the ~solo/small-practice segment"
ai_rollups__micro_saas_agent_holdco,Micro-SaaS holdco run by coding agents,AI-Native Business Models,AI-powered rollups & buyouts,Acquire long-tail vertical software businesses at $50k-500k on seller-financed terms and operate them with near-zero headcount — coding agents handle maintenanc,5.82,7,7,6,5,5,9,8,0.5,20.0,75,Software 10x cheaper; Inference price collapse,"Delegated software maintenance became provably cheap in mid-2026 — a full library release written by agents for $149 (Willison, Jul 2026), plus DeepSeek Harness"
b2a_agent_economy__agent_readable_storefront,Agent-readable storefront for SaaS and API vendors,AI-Native Business Models,B2A & the agent economy,"A self-serve layer that makes an existing SaaS or API product discoverable, evaluable, signup-able and purchasable by an AI agent: machine-readable offers and p",5.82,3,9,6,8,5,8,9,0.6,1.5,25,MCP standardization,"The MCP spec went fully stateless on 2026-07-28 (handshakes and session IDs removed, cacheable tool lists, header-based routing), so agent-facing endpoints now "
wearables_devices__vertical_capture_documentation,Wearable capture to documentation for field verticals,AI Hardware & Devices,AI wearables & consumer devices,A bring-your-own-device wearable capture stack (badge/pendant recorder or glasses mic) plus vertical AI that turns a worker's spoken shift into the exact record,5.82,6,8,4,7,7,7,7,0.55,8.0,25,,"Plaud hit reported ~$250M revenue with no VC (Jun 2026) and Pocket raised $11M (29 Jun 2026), proving people will wear a capture device daily — but the horizont"
agent_orchestration__tool_context_gateway,Progressive tool-discovery gateway for MCP fleets,Agent Infrastructure,Orchestration & multi-agent systems,"A gateway that curates giant MCP tool catalogs per task: progressive disclosure, semantic tool routing, result normalization, and context-budget enforcement so ",5.79,2,9,6,8,5,6,9,0.5,0.6,12,MCP standardization,"The official MCP roadmap (Aug 22, 2026) names tool-discovery degradation at catalog scale as unsolved, weeks after the Jul 28, 2026 stateless spec made MCP serv"
agent_hosting__outcome_billing_infra,Outcome and per-task billing for agents,Agent Infrastructure,Agent deployment & hosting,"Metering, outcome verification, margin tracking, and invoicing infrastructure for agent products priced per task or per resolution — the billing system-of-recor",5.79,4,8,4,7,7,7,7,0.5,4,20,,"Outcome pricing went institutional in mid-2026 — Salesforce launched pay-per-resolution (Jun 25, 2026), Oracle moved to outcome/token pricing (Jun 2026), and De"
accounting_finance_ops__tariff_duty_drawback,Tariff recovery and duty-drawback automation,"Finance, Legal & Compliance","Accounting, bookkeeping & finance ops","AI agents that reconstruct import/export transaction chains from ERP, broker, and CBP data to file duty-drawback claims and tariff-refund/classification correct",5.79,3,8,7,6,6,7,8,0.4,2.5,30,Tariffs & reshoring,"The 2025-26 US tariff expansion created a sudden, large pool of refundable duties and made drawback a CFO-level line item; document-heavy claim assembly became "
robot_software__vertical_deployment_studio,"AI-native robot integration studio, one vertical",Robotics & Physical AI,"Robot software, fleet ops & sim","Full-stack deployment layer for one vertical (e.g., commercial kitchens or life-science labs): site scan, sim validation, foundation-model policy adaptation, in",5.79,5,8,5,5,6,9,7,0.45,6.0,50,,"<200-demo embodiment adaptation (GR-2, Jul 2026) plus scan-to-sim APIs collapse integration cost, letting a 3-person team do what needed a 50-person SI in 2024."
agriculture_food__greenhouse_packhouse_robotics,Foundation-model robotics for greenhouses and packhouses,Industry Verticals (Built World & Commerce),Agriculture & food supply,"An integration studio that deploys off-the-shelf arms running foundation-model VLAs for repetitive greenhouse/packhouse tasks (seedling transplanting, clipping,",5.79,6,7,7,3,6,8,8,0.4,20,150,Robotics foundation models; Labor shortages,"Gemini Robotics 2 (Jul 30, 2026) adapts to a new embodiment with <200 demonstrations and π0.7 (Apr 2026) handles unfamiliar manipulation zero-shot — making sing"
personal_agents__benefits_bureaucracy,Government benefits and bureaucracy navigator,Consumer AI,Personal agents & AI-native tools,"Consumer agent that finds, applies for, and defends entitlements: Medicaid/LTC applications, SSDI, VA benefits, unemployment, FAFSA, records requests and appeal",5.79,6,7,6,6,5,7,6,0.5,18,25,Cheap computer use,"Post-DOGE government staffing cuts (DOGE wound down Jul 2026) left statutory workloads unstaffed, lengthening queues exactly as computer-use agents became relia"
ai_native_entertainment__replica_rights_clearinghouse,Digital replica rights and residuals clearinghouse,Creative & Entertainment,AI-native entertainment & IP,"A system of record for licensed voice/likeness/character replicas: performers and rights holders register a replica with defined permitted uses, productions lic",5.77,4,9,7,4,9,7,8,0.55,3.0,60,Voice crossed threshold; EU AI Act enforcement; Deepfake/trust crisis,"The legal scaffolding landed in the last 15 months: TAKE IT DOWN Act platform obligations became enforceable May 19, 2026; EU AI Act Article 50 machine-readable"
wearables_devices__kids_device_safety_stack,Safety and compliance stack for kids AI devices,AI Hardware & Devices,AI wearables & consumer devices,"A drop-in SDK plus certification service for AI toy and kids-wearable makers: age-appropriate model guardrails, on-device transcript retention limits, parent da",5.77,2,9,7,6,7,9,9,0.4,0.5,30,,"Maryland enacted an AI Toy Safety Act in Mar 2026, the New York Senate passed a toy-chatbot moratorium in Jun 2026 and the bipartisan Duckworth-Murkowski federa"
app_builders__embedded_builder_sdk,Embedded prompt-to-app SDK for vertical SaaS,Software Creation & Developer Tools,Prompt-to-app builders & malleable software,"A white-label 'malleable software' layer that vertical SaaS vendors embed so their non-technical customers can generate custom views, workflows, and extensions ",5.74,3,7,7,6,7,7,7,0.5,1.5,20,Software 10x cheaper,Flowise's Aug 2026 self-sunset ('rigid workflow low code hits the limit' vs coding agents) marks the visual-builder-to-agentic transition; SaaS vendors now need
code_quality__autonomous_e2e_qa,Autonomous end-to-end test maintenance service,Software Creation & Developer Tools,"Code review, testing & QA","Computer-use agents that explore an app, generate E2E tests, run them continuously, and self-heal them as the UI changes — sold as a replacement for outsourced/",5.74,7,7,3,7,5,7,6,0.6,25,20,Cheap computer use,"Computer-use agents crossed reliability thresholds in 2026 (OSWorld 2.0 Jun 2026, Opus 5 SOTA-at-cost Jul 2026), making visual-verification QA agents viable at "
browser_computer_use__agent_readiness_middleware,Agent-readiness middleware for site owners,Agent Infrastructure,Browser & computer-use infrastructure,"Self-serve middleware/CDN layer that serves token-efficient structured versions of a merchant's site to agents, verifies agent identity, and monetizes agent tra",5.74,2,9,7,7,5,7,8,0.45,0.5,20,Cheap computer use,"The web grew an agent-native tier in Jan-Aug 2026 (Cloudflare Kitesurf Aug 6 2026, Mozilla Tabstack Jan 2026, Agent-Browser-Protocol Mar 2026) and Cloudflare's "
agent_memory_context__org_agent_context_sync,Org-wide shared context layer for agent fleets,Agent Infrastructure,Memory & context infrastructure,"A permissioned system-of-record where all of a company's agents (coding, support, ops) read and write shared organizational knowledge — decisions, conventions, ",5.74,4,9,5,6,7,6,7,0.45,3.0,20,MCP standardization; Long-horizon agents,"Multi-agent fleets went production in 2026 (Anthropic Cowork Jan 2026; Every runs a solo business on a fleet of specialized agents each with its own memory, Aug"
agent_hosting__replay_compiler,Deterministic replay compiler for agent runs,Agent Infrastructure,Agent deployment & hosting,"Record an agent completing a browser/desktop task once, compile it into a cheap deterministic script, and fall back to the model only on drift — cutting per-run",5.74,5,7,7,7,5,4,7,0.45,6,20,Cheap computer use,"Deterministic-replay tooling emerged Apr-Jun 2026 (Libretto Apr 15, Intuned Jun 8) and Cloudflare Kitesurf (Aug 2026) made agent-browser execution 3-7x cheaper,"
hr_workforce_ops__ai_hr_generalist_smb,AI HR generalist for SMBs,"People, HR & Work",HR ops & workforce management,"An AI fractional HR manager for companies with 5-200 employees: handbook and policy generation, employee-relations guidance, onboarding/offboarding workflows, a",5.74,7,6,3,8,5,7,5,0.6,40,15,,2024-25 LLMs made reliable multi-state employment-law guidance and document generation cheap enough to sell at $100-300/mo instead of Bambee's human-backed pric
vertical_ops_other__vet_front_office_ai,Veterinary clinic front-office automation,Operations & Back-office Automation,Industry back-office (cross-cutting),"AI phone/scheduling/records agents for veterinary clinics: answer calls, book and confirm appointments, handle refill and records requests, and file pet-insuran",5.74,6,5,5,8,5,7,5,0.5,12,15,Voice crossed threshold,"Sub-second interruption-tolerant voice agents (2025, per F1) finally handle emotional, high-stakes pet-owner calls; corporate consolidators (Mars, NVA) are acti"
patient_access__voice_front_desk,AI phone front desk for specialty clinics,Healthcare & Medicine,Patient access & engagement,"Voice agents that answer 100% of inbound clinic calls, schedule/reschedule, verify insurance, and run intake for specialty practices (ortho, derm, ENT).",5.74,8,6,3,7,5,8,4,0.7,44.2,30,Voice crossed threshold,"Sub-second interruption-tolerant voice stacks (2024-25) made clinic phone trees automatable, but the wave is 2+ years in and well funded."
aging_care__ltc_benefits_paperwork,Long-term-care benefits paperwork agents,Healthcare & Medicine,"Aging, home care & caregiving","AI agents that assemble Medicaid LTC applications and spend-down documentation, LTC-insurance claims, and VA Aid & Attendance filings - once-in-a-lifetime, dead",5.74,5,7,6,6,6,7,6,0.45,6,12,Aging demographics,"2025-26 models reliably handle long-document assembly and state-specific rules with verification, and Medicare navigation (Chapter) proved the demand while leav"
mental_behavioral__ai_patient_sims_training,AI standardized patients for therapist training,Healthcare & Medicine,Mental & behavioral health,"Voice-based simulated clients for grad programs, licensure candidates, and clinics: trainees run full sessions against realistic AI patients (suicidality, resis",5.74,2,7,7,8,5,8,7,0.5,0.8,15,Voice crossed threshold; Labor shortages,Real-time expressive voice models (2025-26 releases) crossed the believability bar for emotionally difficult patient roleplay; workforce-shortage pressure on pr
energy_utilities__puc_ratecase_docket_ai,Rate-case and PUC docket automation,Industry Verticals (Built World & Commerce),"Energy, grid & utilities","AI that monitors, summarizes, and drafts utility regulatory filings (rate cases, large-load tariffs, IRPs) for utilities, developers, intervenors, and energy la",5.74,3,8,6,7,6,7,7,0.5,2.5,15,Tariffs & reshoring,2025-26 record rate-case and large-load tariff volume (Halcyon tracks 264 large-load tariffs) as data-center load growth forces unprecedented PUC filings on bot
real_estate_property__smb_pm_maintenance_ops,AI ops for small landlords/property managers,Industry Verticals (Built World & Commerce),Real estate & property,"Agentic maintenance coordination, after-hours resident calls, and delinquency follow-up for the long tail of small/mid property managers and independent landlor",5.74,9,5,3,7,5,7,4,0.7,139.9,15,Voice crossed threshold; Long-horizon agents,"Reliable multilingual voice agents became production-grade in 2024-25, but enterprise players ignore the sub-500-unit segment; f1 explicitly flags 'Cowork for p"
companionship_social__legacy_voice_memoirs,AI voice-interview family memoirs and legacy,Consumer AI,Companionship & social,"An AI interviewer phones aging parents weekly, conducts warm biographical interviews, and compiles stories into books, searchable audio archives, and interactiv",5.74,3,7,6,9,4,8,6,0.5,1.5,8,Voice crossed threshold; Aging demographics,"2025-26 voice AI (natural phone-call turn-taking since Jan 2026, commodity TTS/STT) makes a genuinely good AI phone interviewer possible for the first time, whi"
consumer_commerce_travel__event_vendor_booking_agent,Wedding and milestone-event vendor booking agent,Consumer AI,"Shopping, travel & lifestyle","An agent that turns a budget and a date into a booked event: shortlists local venues, caterers, photographers and bands, calls and emails them for availability ",5.72,6,5,7,7,6,7,6,0.5,10,20,Voice crossed threshold,"Voice agents reached human-grade turn-taking at commodity cost in 2026, which is the unlock for the actual bottleneck here: calling 40 small vendors who never a"
video_production__worldmodel_previz,World-model previz and virtual location scouting,Creative & Entertainment,Video generation & production,"Generates explorable 3D environments from a script, mood board or a phone walkthrough, so directors and ad creatives can block camera moves, test lens and light",5.72,3,8,8,6,5,9,9,0.5,1.2,45,,"World Labs opened the World API publicly on Jan 21, 2026 and shipped Spark 2.0 web streaming of 3D Gaussian-splat worlds on Apr 14, 2026 — explorable generated "
ai_native_entertainment__ai_microdrama_studio,AI-native vertical micro-drama studio,Creative & Entertainment,AI-native entertainment & IP,"A studio that writes, generates and localizes vertical short-form dramas (60-100 x 1-2 min episodes) mostly with generative video, voice and AI dubbing, then mo",5.72,6,8,4,7,5,9,7,0.62,11.0,40,Voice crossed threshold; Training-data trade,Generative video reached stylized-narrative usability in 2026 while micro-drama distribution matured into an $11B global market (2025) — and incumbents began bu
b2a_agent_economy__nonhuman_identity_broker,Non-human identity broker for agent fleets,AI-Native Business Models,B2A & the agent economy,"An identity provider for agents rather than people: issues short-lived, task-scoped, DPoP-bound credentials to each agent and sub-agent, brokers delegated autho",5.72,6,9,4,5,7,8,8,0.6,7.0,80,MCP standardization,"The MCP roadmap of Aug 22 2026 lists agent delegation and auth (Workload Identity Federation, DPoP) as roadmapped-but-not-shipped, and Cloudflare's Agent Access"
outcome_marketplaces__per_unit_backoffice_exchange,Per-completed-unit back-office work exchange,AI-Native Business Models,Outcome marketplaces & work platforms,"A storefront where companies buy finished back-office units at a posted per-unit price with an accuracy SLA — an invoice coded, a vendor onboarded, a claim subm",5.72,10,8,4,5,5,7,5,0.6,348,50,,Outcome/unit pricing became institutionally legitimate in 2026 (Deloitte rev-rec guidance Jun 17; Salesforce pay-per-resolution Jun 25; Indian IT midcaps repric
wearables_devices__glasses_hud_frontline_apps,Smart-glasses HUD apps for frontline work,AI Hardware & Devices,AI wearables & consumer devices,"Vertical heads-up-display apps for the newly opened smart-glasses platforms (Meta Ray-Ban Display, Android XR, Vuzix) that give field-service, warehouse and man",5.72,5,8,5,6,6,8,9,0.5,7.0,35,,Meta opened Ray-Ban Display glasses to third-party developers with two SDK paths on 18 May 2026 and Google handed out free Project Aura dev kits via Android XR 
legacy_modernization__vertical_desktop_rewrites,Legacy Windows app rewrites for vertical SMBs,Software Creation & Developer Tools,Legacy modernization & migration,"Productized rewrites of aging VB6/Delphi/PowerBuilder/Access thick-client apps that run dental offices, logistics depots, and county governments, using agents t",5.69,3,6,7,8,4,8,7,0.5,2,10,Cheap computer use; Aging demographics,Windows 10 end-of-support (Oct 2025) is forcing SMBs off ancient desktop stacks just as computer-use agents (2025-26) can drive and observe the old app to extra
dev_knowledge__api_change_agent,API change intelligence & integration auto-repair,Software Creation & Developer Tools,"Docs, onboarding & dev knowledge","Agents that watch upstream API/SDK changelogs and deprecations for a company's third-party integrations, explain breaking changes, and open tested auto-fix PRs ",5.69,5,7,6,7,5,6,6,0.5,8,15,,"Agents became reliable at opening small tested PRs (Codex/Claude Code fleets, 2025-26) while Anthropic's May 2026 Stainless acquisition consolidated SDK-generat"
llm_evals__ai_warranty_verification,Verification engine for AI warranties/insurance,"Data, Evals & AI Quality","LLM evals, testing & observability","Independent eval shop whose test results underwriters trust: pre-binding verification, red-teaming, and in-force monitoring of AI systems that back performance ",5.69,2,9,7,5,8,7,7,0.45,0.3,40,,"Armilla's Lloyd's-backed affirmative AI policies (with Chaucer, AXIS, Swiss Re) expanded to cover AI-agent mistakes in 2025-26, and enterprises deploying agents"
compliance_grc__eu_ai_act_deployer,EU AI Act deployer compliance for mid-market,"Finance, Legal & Compliance","Compliance, GRC & AI governance","Software that tells EU-touching mid-market companies which of their systems/vendor features are Annex III high-risk, then generates and maintains the required a",5.69,4,10,4,6,5,7,9,0.5,3,15,EU AI Act enforcement,"The EU AI Act high-risk regime for most operators went live 2 Aug 2026 (three weeks ago), with penalties up to 7% of turnover already applicable since Aug 2025."
recruiting_talent__ai_contingency_shortage,AI-native contingency recruiting for shortage occupations,"People, HR & Work",Recruiting & talent,"A recruiting firm (not SaaS) that uses AI sourcing, voice screening, and credential verification to place nurses, allied health, and skilled-trades workers on c",5.69,7,7,5,6,4,8,5,0.7,34,20,Voice crossed threshold,"2024-25 voice AI made phone-first screening of high-churn workforces viable at near-zero cost, while nurse time-to-fill runs 56-102 days (NSI 2026) and 189k RN "
aging_care__elder_fraud_shield,Elder financial-fraud shield for families,Healthcare & Medicine,"Aging, home care & caregiving","Transaction-level anomaly detection across an elder's accounts with family-in-the-loop escalation and scam-message checking, sold D2C to adult children and thro",5.69,4,8,5,7,6,6,7,0.45,1.5,10,Voice crossed threshold; Aging demographics; Deepfake/trust crisis,"AI voice-cloning and deepfake scams surged through 2025-26 (F2 cites ~32% CAGR in AI-enabled fraud), while banks hold SAR obligations for elder exploitation wit"
securing_ai__mcp_supply_chain,MCP tool-supply-chain security & trust registry,"Security, Fraud & Trust",Securing AI & agents,"Scanning, signing, and continuous monitoring of MCP servers and agent tools: detect tool poisoning, rug-pulls, and malicious updates; publish a signed trust reg",5.69,2,9,5,7,6,7,9,0.6,0.5,15,MCP standardization,"MCP went fully stateless July 28, 2026 (resetting the hosting/distribution layer) and the official MCP roadmap (Aug 22, 2026) names tool discovery and server tr"
robot_software__teleop_to_autonomy_data,Teleop-to-autonomy data operations,Robotics & Physical AI,"Robot software, fleet ops & sim",Remote human operators run customers' robot tasks today; every shift is captured as curated fine-tuning data that ratchets the fleet toward autonomy — labor arb,5.69,3,9,6,5,7,8,7,0.4,1.0,60,Robotics foundation models; Training-data trade,"pi-star-0.6 (Nov 18, 2025) proved learn-from-deployment RL works, making operator shifts directly monetizable as training data rather than pure labor cost."
physical_world_os__robot_fleet_supervision,Robot-fleet supervision and safety layer,Robotics & Physical AI,Physical-world operations OS,"Vendor-neutral monitoring for mixed robot/humanoid fleets: agentic-plan auditing, anomaly and near-miss detection, incident forensics, and human-escalation work",5.69,2,9,8,4,7,8,8,0.45,0.5,25,Robotics foundation models; Long-horizon agents,"Gemini Robotics 2 (Jul 30, 2026) and BMW's humanoid production deployment (Mar 4, 2026) created multi-vendor agentic fleets that no one currently audits; f1 fla"
logistics_freight__tariff_refund_drawback,Tariff refund and duty-drawback automation,Industry Verticals (Built World & Commerce),Logistics & freight,"AI service that reconstructs importers' CBP entry summaries, computes recoverable duty from the Feb-2026 SCOTUS IEEPA ruling (~$166B refund pool across 330k+ bu",5.69,5,5,7,6,4,7,9,0.5,8,20,Tariffs & reshoring,"Feb 2026 SCOTUS 6-3 ruling invalidated IEEPA tariffs; ~$166B must be refunded to 330,000+ businesses with refund procedures starting April 2026 — a dated, closi"
logistics_freight__small_fleet_back_office,AI back office for small trucking fleets,Industry Verticals (Built World & Commerce),Logistics & freight,"AI dispatcher/office manager for the 580k US carriers with 10 or fewer trucks: load hunting, dispatch, rate confirmation paperwork, detention documentation, inv",5.69,6,5,6,7,5,7,5,0.55,15,10,Voice crossed threshold,"2024-25 voice agents and document extraction finally fit the phone-and-paper workflows of owner-operators, a segment no venture software has profitably reached "
manufacturing_engineering__quality_compliance_docs_agent,Quality compliance paperwork agent for suppliers,Industry Verticals (Built World & Commerce),Manufacturing & industrial engineering,"AI that drafts and manages PPAP packages, first-article inspection (FAI) reports, 8D corrective actions, and AS9100/ISO 9001 audit evidence for small precision ",5.69,4,7,6,7,5,8,6,0.45,4,15,,Defense-manufacturing demand surge (US FY27 request ~$1.5T; YC F26 RFS names American defense) is pushing thousands of small shops into cert-heavy supply chains
learning_consumer__occupational_spoken_english,Spoken-English coach for internationally-trained workers,Consumer AI,Consumer learning & skills,"A voice-native fluency and intelligibility coach aimed at internationally-educated nurses, caregivers, drivers and technicians who must pass an occupational Eng",5.67,6,7,5,8,5,7,6,0.45,12,25,Voice crossed threshold; Aging demographics,"Human-grade turn-taking at commodity cost arrived Jan-Aug 2026 (Sparrow-1 55ms median latency; open TTS collapsing to <25MB on-device), making unlimited spoken "
gaming_3d__worldmodel_level_kits,World-model 3D environment kits for indies,Creative & Entertainment,Gaming & 3D worlds,"Turn a text prompt, mood board or phone video into a streamable, walkable 3D-Gaussian-splat environment with LODs and collision, exported as a Unity/Unreal-inge",5.67,3,8,8,7,4,8,9,0.45,1.5,30,,"World Labs opened the World API publicly on Jan 21, 2026 and shipped Spark 2.0 web streaming on Apr 14, 2026, making text/image/video-to-explorable-3D a callabl"
services_as_software__ai_specialty_insurance_brokerage,AI brokerage for hard-to-place commercial lines,AI-Native Business Models,Services-as-software firms,"A licensed commercial insurance brokerage/MGA for a segment carriers avoid (wildfire-exposed property, trucking, trades contractors): agents do submission prep,",5.67,8,8,4,4,8,7,6,0.55,100,90,,The insurer retreat is structural — California FAIR Plan policies went 124k (2019) to 663k (Mar 2026) with $768B exposure (Jun 2026) — and 2026 saw AI brokerage
datacenter_energy_hw__energy_disclosure_compliance,Datacenter energy and water disclosure compliance,AI Hardware & Devices,Datacenter & energy infrastructure,"A reporting system that pulls PUE, WUE, energy mix, waste-heat recovery and IT-load data out of DCIM/BMS/meters and produces the EU Energy Efficiency Directive ",5.67,3,10,7,7,5,7,8,0.6,1.2,25,,"The EU Commission opened its datacentre rating-scheme consultation Mar 27 2026 and sustainability labelling moved forward by Jul 2026, while the Apr 2026 aggreg"
coding_agents__maintenance_fleet,Background agents for continuous code maintenance,Software Creation & Developer Tools,Coding agents & AI IDEs,"Fleet of background coding agents that autonomously performs dependency upgrades, framework migrations, and CVE patching across an org's repos, priced per merge",5.64,8,8,4,6,4,6,5,0.5,70,15,Software 10x cheaper; Long-horizon agents,"2025-26 long-horizon agent harnesses made multi-repo, test-verified changes reliable enough to price per merged PR rather than per seat"
browser_computer_use__agent_browsing_security,Prompt-injection defense for browsing agents,Agent Infrastructure,Browser & computer-use infrastructure,"A security layer (proxy/firewall + evals) that sits between computer-use agents and the web, detecting injected instructions in pages, scoping credentials, and ",5.64,2,9,7,6,7,5,8,0.5,0.6,25,Cheap computer use,"OpenAI shut ChatGPT Atlas on Aug 9 2026 with prompt-injection security as a stated wound (WIRED Aug 5 2026), and the frontier gap map explicitly lists agent-bro"
inference_infra__batch_offpeak_broker,Batch and off-peak inference broker,Models & Compute,Inference & serving optimization,"A broker that takes latency-tolerant LLM jobs (portfolio contract review, loan-book re-underwriting, catalog enrichment, eval sweeps) and executes them at the c",5.64,4,8,6,7,4,7,7,0.55,3,20,Inference price collapse,"DeepSeek V4 Flash (Apr 2026) shipped 1M-token context at $0.14/Mtok MIT-licensed, making whole-corpus batch jobs 10-50x cheaper and creating an arbitrage across"
local_edge_models__onprem_ai_appliance_regulated_smb,Private AI appliances for regulated SMB firms,Models & Compute,"Local, edge & on-device AI","A plug-in box (DGX Spark / Mac Studio class hardware) plus managed open-weight model stack sold to law firms, clinics, and wealth managers whose data cannot lea",5.64,5,8,5,6,5,7,7,0.55,6,35,,Gemma 4 26B running in 2GB RAM on any M-series Mac (Jul 2026) and DGX Spark-class $3-4k hardware make credible private LLMs deployable by a 2-person company for
local_edge_models__offline_field_copilots,Offline field-work copilots for disconnected industries,Models & Compute,"Local, edge & on-device AI","Rugged-tablet/phone multimodal copilots for inspection, utilities, mining, and disaster response that run entirely without connectivity: photo-to-defect-report,",5.64,4,7,7,6,5,7,7,0.45,3,30,,"Sep 2025-Aug 2026 made full multimodal stacks (vision+STT+LLM) genuinely capable on phone-class hardware (Gemma 4 edge variants, 50-70 tok/s on phones), unlocki"
specialized_models__tabular_fm_apps,Tabular foundation-model prediction products,Models & Compute,Small & domain-specialized models,"Sell fraud/churn/credit/maintenance prediction as an API and apps built on TabPFN-class tabular foundation models, targeting mid-market data teams who can't aff",5.64,4,6,7,7,5,6,7,0.5,3,15,,"TabPFN-v2 published in Nature (Jan 2025) proved tabular FMs beat classical ML, and Prior Labs' 2026 absorption into SAP removed the leading independent, reopeni"
specialized_models__edge_oem_slm_stack,Edge-AI model stack for device OEMs,Models & Compute,Small & domain-specialized models,"Per-device-licensed SDK bundling a tiny local model, confidence-probe cloud fallback, and update pipeline for makers of POS terminals, medical carts, appliances",5.64,4,7,6,6,6,6,8,0.5,3,20,,Gemma 4 edge variants (Apr 2026) and proven hybrid routing — a 68k-param confidence probe sending only 15-35% of queries to cloud at matched quality (Cactus Hyb
