niche_id,niche_name,domain_name,area_name,worth_it_composite,market_size_1_10,growth_tailwind_1_10,openness_1_10,feasibility_1_10,moat_potential_1_10,wave_resilience_1_10,timing_1_10,confidence_0_1,market_estimate_usd_billions_per_year,cost_to_start_usd_thousands,enabling_frontier_shifts,why_now
trades_home_services__tech_copilot,語音優先的技師診斷與備料輔助工具,垂直產業（建築與商業）,技術工班與居家服務,5.84,5,8,5,6,7,7,6,0.55,8,25,語音跨過可用門檻; 人口高齡化; 勞動力短缺,2025-26 年的多模態語音＋視覺模型（Gemini 3.x、Claude 5 世代）終於讓工地現場的免持照片加語音診斷可行；技術工人短缺（每年 81k 個電匠職缺，BL
consumer_health__sleep_apnea_funnel,穿戴警示到睡眠呼吸中止治療導引,消費者 AI,個人健康與教練,5.82,6,8,7,5,6,8,7,0.5,10,60,,Apple 的睡眠呼吸中止通知於 2024 年 9 月取得 FDA 許可，現已搭載於 Series 9/10/11（2025 年 9 月再加入高血壓通知），因此消費性穿戴裝置正以 p
services_as_software__ai_medical_billing_firm,小型專科診所 AI 醫療帳務公司,AI 原生商業模式,服務即軟體公司,5.82,7,8,4,6,7,8,6,0.65,19.3,35,,2026 年獲得募資的 AI 醫療營收循環管理平台（Candid 7 月 $120M、Amperos 4 月 $16M）都往上打醫療集團與醫療體系，留下單醫師／小型診所這一段仍由 2010 年代的境外帳務商服務；
ai_rollups__micro_saas_agent_holdco,編碼代理營運的微型 SaaS 控股,AI 原生商業模式,AI 併購整合與收購,5.82,7,7,6,5,5,9,8,0.5,20.0,75,軟體開發成本降十倍; 推論價格崩跌,"軟體維護外包在 2026 年中被證明便宜得驚人——由 AI 代理撰寫、成本 $149 的完整函式庫版本（Willison, 2026 年 7 月），加上 Flash 等級定價的 DeepSeek Harness（2026"
b2a_agent_economy__agent_readable_storefront,SaaS 與 API 的代理可讀店面,AI 原生商業模式,B2A 與代理經濟,5.82,3,9,6,8,5,8,9,0.6,1.5,25,MCP 標準化,MCP 規格在 2026-07-28 全面轉為無狀態（移除握手與 session ID、工具清單可快取、以標頭路由），代理端點現在部署起來就像一般可快取的網路基礎設施
wearables_devices__vertical_capture_documentation,現場垂直產業的穿戴擷取轉文件,AI 硬體與裝置,AI 穿戴與消費裝置,5.82,6,8,4,7,7,7,7,0.55,8.0,25,,Plaud 在沒有創投資金的情況下傳出約 $250M 營收（2026 年 6 月），Pocket 募得 $11M（2026 年 6 月 29 日），證明人們願意每天配戴擷取裝置——但通用型玩家只做出制式摘要，而
agent_orchestration__tool_context_gateway,MCP 機隊的漸進式工具探索閘道,AI 代理基礎設施,代理編排與多代理系統,5.79,2,9,6,8,5,6,9,0.5,0.6,12,MCP 標準化,官方 MCP 路線圖（2026 年 8 月 22 日）點名目錄規模下的工具探索退化仍未解決，而這距離 2026 年 7 月 28 日無狀態規格讓 MCP 伺服器能像一般網路基礎設施般部署，只有幾週
agent_hosting__outcome_billing_infra,AI 代理的按成果與按任務計費,AI 代理基礎設施,代理部署與託管,5.79,4,8,4,7,7,7,7,0.5,4,20,,按成果計價在 2026 年中走向制度化——Salesforce 推出按解決件計價（2026 年 6 月 25 日）、Oracle 轉向按成果／token 計價（2026 年 6 月），Deloitte 也發布了收入認列的
accounting_finance_ops__tariff_duty_drawback,關稅追回與沖退稅自動化,財務、法務與法遵,會計記帳與財務作業,5.79,3,8,7,6,6,7,8,0.4,2.5,30,關稅與生產回流,2025-26 年美國關稅擴大，突然創造出一大池可退還的稅款，讓沖退稅成為 CFO 層級的科目；文件繁重的申報組卷在 2025 年世代的代理下變得可自動化
robot_software__vertical_deployment_studio,AI 原生機器人整合工作室（單一垂直）,機器人與實體 AI,機器人軟體、機隊與模擬,5.79,5,8,5,5,6,9,7,0.45,6.0,50,,少於 200 次示範即可完成的具身調適（GR-2，2026 年 7 月）加上掃描轉模擬 API，把整合成本壓縮到 3 人團隊就能做 2024 年需要 50 人系統整合商才做得到的事。
agriculture_food__greenhouse_packhouse_robotics,溫室與包裝場的基礎模型機器人,垂直產業（建築與商業）,農業與食品供應,5.79,6,7,7,3,6,8,8,0.4,20,150,機器人基礎模型問世; 勞動力短缺,Gemini Robotics 2（2026 年 7 月 30 日）以少於 200 次示範即可適應新的機體，π0.7（2026 年 4 月）能零樣本處理陌生的操作任務——讓單一任務的農業單元成為新創規模可解的問題
personal_agents__benefits_bureaucracy,政府福利與行政流程導航代理,消費者 AI,個人代理與 AI 原生工具,5.79,6,7,6,6,5,7,6,0.5,18,25,電腦操作成本大降,DOGE 之後的政府人力刪減（DOGE 於 2026 年 7 月收攤）讓法定業務量無人承接、排隊時間拉長，而電腦操作代理恰好在此時對入口網站變得可靠（OSWorld 2.0，2026 年 6 月）。
ai_native_entertainment__replica_rights_clearinghouse,數位複製人權利與後續分潤清算所,創意與娛樂,AI 原生娛樂與 IP,5.77,4,9,7,4,9,7,8,0.55,3.0,60,語音跨過可用門檻; 歐盟《AI 法案》上路; 深偽與信任危機,法制骨架在過去 15 個月到位：TAKE IT DOWN 法案的平台義務自 2026 年 5 月 19 日起可執行；歐盟《AI 法案》第 50 條的機器可讀合成內容標記自 
wearables_devices__kids_device_safety_stack,兒童 AI 裝置的安全與法遵堆疊,AI 硬體與裝置,AI 穿戴與消費裝置,5.77,2,9,7,6,7,9,9,0.4,0.5,30,,馬里蘭州在 2026 年 3 月通過《AI 玩具安全法》，紐約州參議院在 2026 年 6 月通過玩具聊天機器人的暫行禁令，兩黨的 Duckworth-Murkowski 聯邦法案也在 2026 年 8 月通過委員會——
app_builders__embedded_builder_sdk,垂直 SaaS 內嵌 prompt-to-app SDK,軟體開發與開發者工具,一句話生成應用,5.74,3,7,7,6,7,7,7,0.5,1.5,20,軟體開發成本降十倍,Flowise 在 2026 年 8 月自行終止服務（「僵化的工作流程低程式碼已達極限」，相對於程式碼代理），標誌著視覺化產生器走向代理式的轉折；SaaS 廠商如今需要一套自己無法
code_quality__autonomous_e2e_qa,自主端對端測試維護服務,軟體開發與開發者工具,程式碼審查與測試,5.74,7,7,3,7,5,7,6,0.6,25,20,電腦操作成本大降,電腦操作代理在 2026 年跨過可靠度門檻（OSWorld 2.0，2026 年 6 月；Opus 5 在同等成本下達 SOTA，2026 年 7 月），讓視覺驗證式 QA 代理能以服務業毛利水準運作。
browser_computer_use__agent_readiness_middleware,網站經營者的代理就緒中介層,AI 代理基礎設施,瀏覽器與電腦操作設施,5.74,2,9,7,7,5,7,8,0.45,0.5,20,電腦操作成本大降,網路在 2026 年 1 至 8 月長出了代理原生層（Cloudflare Kitesurf 2026 年 8 月 6 日、Mozilla Tabstack 2026 年 1 月、Agent-Browser-Protoc
agent_memory_context__org_agent_context_sync,代理機隊的全公司共享脈絡層,AI 代理基礎設施,記憶與脈絡基礎設施,5.74,4,9,5,6,7,6,7,0.45,3.0,20,MCP 標準化; 長時程代理成熟,多代理機隊在 2026 年進入正式環境（Anthropic Cowork 2026 年 1 月；Every 以一支各自擁有記憶的專職代理機隊經營單人公司，2026 年 8 月），加上無狀態 MCP（2026 年 7 月 
agent_hosting__replay_compiler,AI 代理執行的確定性回放編譯器,AI 代理基礎設施,代理部署與託管,5.74,5,7,7,7,5,4,7,0.45,6,20,電腦操作成本大降,確定性回放工具在 2026 年 4-6 月冒出（Libretto 4 月 15 日、Intuned 6 月 8 日），而 Cloudflare Kitesurf（2026 年 8 月）讓 AI 代理的瀏覽器執行便宜 3-
hr_workforce_ops__ai_hr_generalist_smb,中小企業的 AI 人資通才,人才、人資與工作,人資作業與人力管理,5.74,7,6,3,8,5,7,5,0.6,40,15,,2024-25 年的大型語言模型讓可靠的跨州勞動法建議與文件生成便宜到足以用每月 $100-300 銷售，而非 Bambee 那種以人力支撐的定價。
vertical_ops_other__vet_front_office_ai,獸醫診所前台自動化,營運與後台自動化,跨產業後台作業,5.74,6,5,5,8,5,7,5,0.5,12,15,語音跨過可用門檻,次秒級、可容忍打斷的語音代理（2025 年，依 F1）終於能應付情緒化、風險高的飼主來電；企業型整併者（Mars、NVA）也在長期人力短缺下積極採購省人力的技術
patient_access__voice_front_desk,專科診所 AI 電話前台,醫療與健康照護,病患接觸與互動,5.74,8,6,3,7,5,8,4,0.7,44.2,30,語音跨過可用門檻,次秒級、可容忍打斷的語音堆疊（2024-25）讓診所電話樹得以自動化，但這波浪潮已推進 2 年以上且資金充裕。
aging_care__ltc_benefits_paperwork,長照給付文件申辦代理,醫療與健康照護,高齡、居家照護與長照,5.74,5,7,6,6,6,7,6,0.45,6,12,人口高齡化,2025-26 年的模型能可靠處理長文件彙整與各州特定規則並加以驗證，而 Medicare 導航（Chapter）已證明需求存在，卻未碰 Medicaid／長照文書。
mental_behavioral__ai_patient_sims_training,治療師訓練用 AI 標準化病人,醫療與健康照護,心理與行為健康,5.74,2,7,7,8,5,8,7,0.5,0.8,15,語音跨過可用門檻; 勞動力短缺,即時且富表現力的語音模型（2025-26 年釋出）跨過了情緒困難病人角色扮演的可信度門檻；人力短缺對課程產能的壓力，也與護理師師資
energy_utilities__puc_ratecase_docket_ai,費率案與 PUC 案卷自動化,垂直產業（建築與商業）,能源、電網與公用事業,5.74,3,8,6,7,6,7,7,0.5,2.5,15,關稅與生產回流,2025-26 年費率案與大型負載電價量創新高（Halcyon 追蹤 264 件大型負載電價），因資料中心負載成長迫使雙方向 PUC 提出前所未見的申報；長脈絡模型現在也能解析
real_estate_property__smb_pm_maintenance_ops,小型房東與物管的 AI 維運助手,垂直產業（建築與商業）,房地產與物業,5.74,9,5,3,7,5,7,4,0.7,139.9,15,語音跨過可用門檻; 長時程代理成熟,可靠的多語音代理在 2024-25 年達到可上線水準，但大型業者忽略 500 戶以下的區隔；f1 明確點名「物業管理版 Cowork」的垂直化（202
companionship_social__legacy_voice_memoirs,AI 語音訪談家族回憶錄,消費者 AI,陪伴與社交,5.74,3,7,6,9,4,8,6,0.5,1.5,8,語音跨過可用門檻; 人口高齡化,2025-26 年的語音 AI（2026 年 1 月起自然的電話輪替、商品化的 TTS／STT）首度讓真正好用的 AI 電話訪談者成為可能，而嬰兒潮世代老化也讓需求具人口結構支撐
consumer_commerce_travel__event_vendor_booking_agent,婚禮與人生大事廠商預訂代理,消費者 AI,購物、旅遊與生活,5.72,6,5,7,7,6,7,6,0.5,10,20,語音跨過可用門檻,語音代理在 2026 年以商品化成本達到人類等級的輪替對話，這正是此處真正瓶頸的解鎖關鍵：打給 40 家從不回信的小廠商，成本遠低於一位 $4k 的
video_production__worldmodel_previz,世界模型前期視覺化與虛擬勘景,創意與娛樂,影片生成與製作,5.72,3,8,8,6,5,9,9,0.5,1.2,45,,World Labs 於 2026 年 1 月 21 日公開開放 World API，並於 2026 年 4 月 14 日推出 Spark 2.0 的 3D 高斯潑濺世界網頁串流——今年可探索的生成式場景才成為可呼叫的 
ai_native_entertainment__ai_microdrama_studio,AI 原生直式微短劇工作室,創意與娛樂,AI 原生娛樂與 IP,5.72,6,8,4,7,5,9,7,0.62,11.0,40,語音跨過可用門檻; 訓練資料交易市場,生成式影片在 2026 年達到風格化敘事的可用水準，而微短劇發行已成熟為 $11B 的全球市場（2025 年）——且既有業者開始收購 AI 工作室（Holywater 收購 Jeyn
b2a_agent_economy__nonhuman_identity_broker,AI 代理機隊的非人類身分中介,AI 原生商業模式,B2A 與代理經濟,5.72,6,9,4,5,7,8,8,0.6,7.0,80,MCP 標準化,2026 年 8 月 22 日的 MCP 路線圖，把代理權限轉授與驗證（Workload Identity Federation、DPoP）列為已排入但尚未推出，而 Cloudflare 的 Agent Access M
outcome_marketplaces__per_unit_backoffice_exchange,按完成單位計價的後台作業交易平台,AI 原生商業模式,成果市集與接案平台,5.72,10,8,4,5,5,7,5,0.6,348,50,,按成果／按單位計價在 2026 年取得制度上的正當性（Deloitte 6 月 17 日的收入認列指引、Salesforce 6 月 25 日的按解決件數計價、印度 IT 中型企業 8 月 4 日將服務改為按成果計價），
wearables_devices__glasses_hud_frontline_apps,第一線工作的智慧眼鏡 HUD 應用,AI 硬體與裝置,AI 穿戴與消費裝置,5.72,5,8,5,6,6,8,9,0.5,7.0,35,,Meta 在 2026 年 5 月 18 日以兩條 SDK 路徑向第三方開發者開放 Ray-Ban Display 眼鏡，Google 也在 2026 年 5 月 25 日透過 Android XR Catalyst 發
legacy_modernization__vertical_desktop_rewrites,垂直產業中小企業的舊 Windows 應用改寫,軟體開發與開發者工具,老舊系統現代化,5.69,3,6,7,8,4,8,7,0.5,2,10,電腦操作成本大降; 人口高齡化,Windows 10 終止支援（2025 年 10 月）迫使中小企業離開老舊的桌面技術棧，而電腦操作代理（2025-26）正好能操作並觀察舊軟體，萃取其真實行為。
dev_knowledge__api_change_agent,API 變更情報與整合自動修復,軟體開發與開發者工具,開發文件與新人上手,5.69,5,7,6,7,5,6,6,0.5,8,15,,代理在開出小型且有測試的 PR 上變得可靠（Codex／Claude Code 機隊，2025-26），而 Anthropic 在 2026 年 5 月收購 Stainless 整合了 SDK 生成，卻留下第三方整合的維
llm_evals__ai_warranty_verification,AI 保固／保險的驗證引擎,資料、評測與 AI 品質,大型語言模型評測機制,5.69,2,9,7,5,8,7,7,0.45,0.3,40,,Armilla 由 Lloyd's 支持的明示型 AI 保單（與 Chaucer、AXIS、Swiss Re 合作）在 2025-26 年擴大到涵蓋 AI 代理的錯誤，而部署代理的大型企業如今要求廠商提供財務追償
compliance_grc__eu_ai_act_deployer,中型市場歐盟 AI 法案部署者法遵,財務、法務與法遵,法遵、GRC 與 AI 治理,5.69,4,10,4,6,5,7,9,0.5,3,15,歐盟《AI 法案》上路,歐盟《AI 法案》(EU AI Act) 針對多數業者的高風險規範已於 2026 年 8 月 2 日（三週前）生效，而最高達營業額 7% 的罰則自 2025 年 8 月起即已適用。
recruiting_talent__ai_contingency_shortage,缺工職類的 AI 原生成效制招募,人才、人資與工作,招募與人才,5.69,7,7,5,6,4,8,5,0.7,34,20,語音跨過可用門檻,2024-25 年的語音 AI 讓高流失人力的電話優先初篩得以近乎零成本進行，而護理師職缺填補時間長達 56-102 天（NSI 2026），且到 2034 年前每年仍有 189k 個註冊護理師職缺。
aging_care__elder_fraud_shield,家庭版長者金融詐騙防護,醫療與健康照護,高齡、居家照護與長照,5.69,4,8,5,7,6,6,7,0.45,1.5,10,語音跨過可用門檻; 人口高齡化; 深偽與信任危機,AI 語音複製與深偽詐騙在 2025-26 年激增（F2 引用 AI 助長詐騙約 32% CAGR），而銀行對長者金融剝削負有可疑活動報告（SAR）義務，卻幾乎沒有工具。
securing_ai__mcp_supply_chain,MCP 工具供應鏈資安與信任登錄庫,資安、詐防與信任,AI 與代理防護,5.69,2,9,5,7,6,7,9,0.6,0.5,15,MCP 標準化,MCP 於 2026 年 7 月 28 日全面轉為無狀態（重置了託管／通路層），官方 MCP 路線圖（2026 年 8 月 22 日）也把工具探索與伺服器信任列為未解問題，同時 OpenAI 將 Chat
robot_software__teleop_to_autonomy_data,遠端操作轉自主的資料維運,機器人與實體 AI,機器人軟體、機隊與模擬,5.69,3,9,6,5,7,8,7,0.4,1.0,60,機器人基礎模型問世; 訓練資料交易市場,pi-star-0.6（2025-11-18）證明從部署中學習的強化學習可行，使操作員班次能直接變現為訓練資料，而非純粹的人力成本。
physical_world_os__robot_fleet_supervision,機器人機隊監管與安全層,機器人與實體 AI,實體世界營運系統,5.69,2,9,8,4,7,8,8,0.45,0.5,25,機器人基礎模型問世; 長時程代理成熟,Gemini Robotics 2（2026-07-30）與 BMW 的人形機器人產線部署（2026-03-04）催生了目前無人稽核的多廠牌代理式機隊；f1 將無人監管的自主行為列為當前已知
logistics_freight__tariff_refund_drawback,關稅退款與退稅自動化,垂直產業（建築與商業）,物流與貨運,5.69,5,5,7,6,4,7,9,0.5,8,20,關稅與生產回流,"2026 年 2 月最高法院以 6-3 判決 IEEPA 關稅無效；約 $166B 須退還給 330,000+ 家企業，退款程序自 2026 年 4 月起跑——這是有明確期限、正在關閉的套利。"
logistics_freight__small_fleet_back_office,小型貨運車隊的 AI 後台作業,垂直產業（建築與商業）,物流與貨運,5.69,6,5,6,7,5,7,5,0.55,15,10,語音跨過可用門檻,2024-25 年的語音代理與文件擷取終於能貼合個體司機的電話與紙本工作流程，這個區隔過去從未有創投軟體能獲利地觸及。
manufacturing_engineering__quality_compliance_docs_agent,供應商品質法遵文書 AI 代理,垂直產業（建築與商業）,製造與工業工程,5.69,4,7,6,7,5,8,6,0.45,4,15,,國防製造需求激增（美國 FY27 預算請求約 $1.5T；YC F26 RFS 點名美國國防）正把數千家小型工廠推進認證繁重的供應鏈，而 2025-26 年的模型恰好能處理暴增的
learning_consumer__occupational_spoken_english,外籍受訓工作者的英語口說教練,消費者 AI,個人學習與技能,5.67,6,7,5,8,5,7,6,0.45,12,25,語音跨過可用門檻; 人口高齡化,人類等級的輪替對話在 2026 年 1 月至 8 月間降到商品化成本（Sparrow-1 中位延遲 55ms；開源 TTS 縮到裝置端 <25MB），讓無限量口說練習便宜到能以每月 $25 銷售
gaming_3d__worldmodel_level_kits,獨立團隊用世界模型 3D 場景包,創意與娛樂,遊戲與 3D 世界,5.67,3,8,8,7,4,8,9,0.45,1.5,30,,World Labs 於 2026 年 1 月 21 日公開開放 World API，並於 2026 年 4 月 14 日推出 Spark 2.0 網頁串流，首度讓文字／影像／影片轉可探索 3D 成為可呼叫的服務；NVI
services_as_software__ai_specialty_insurance_brokerage,難承保商業險 AI 保經公司,AI 原生商業模式,服務即軟體公司,5.67,8,8,4,4,8,7,6,0.55,100,90,,保險業撤退是結構性的——加州 FAIR Plan 保單數從 2019 年的 124k 增至 2026 年 3 月的 663k，曝險 $768B（2026 年 6 月）——而 2026 年也出現 AI 保經公司（Novel
datacenter_energy_hw__energy_disclosure_compliance,資料中心能源與用水揭露法遵,AI 硬體與裝置,資料中心與能源基礎設施,5.67,3,10,7,7,5,7,8,0.6,1.2,25,,歐盟執委會在 2026 年 3 月 27 日啟動資料中心評級機制諮詢，永續標章也在 2026 年 7 月前往前推進，而 2026 年 4 月公布的 EED 彙整資料顯示多數營運商
coding_agents__maintenance_fleet,持續維護程式碼的背景代理群,軟體開發與開發者工具,程式代理與 AI IDE,5.64,8,8,4,6,4,6,5,0.5,70,15,軟體開發成本降十倍; 長時程代理成熟,2025-26 年的長時程代理框架，讓跨儲存庫、經測試驗證的變更可靠到足以按已合併 PR 計價，而非按席次計價
browser_computer_use__agent_browsing_security,瀏覽代理的提示注入攻擊防禦,AI 代理基礎設施,瀏覽器與電腦操作設施,5.64,2,9,7,6,7,5,8,0.5,0.6,25,電腦操作成本大降,OpenAI 於 2026 年 8 月 9 日關閉 ChatGPT Atlas，並明講提示注入攻擊的資安問題是傷口（WIRED 2026 年 8 月 5 日），而前沿缺口地圖也明確把代理瀏覽器的注入防禦列為無人占據。
inference_infra__batch_offpeak_broker,批次與離峰推論仲介,模型與運算,推論與服務最佳化,5.64,4,8,6,7,4,7,7,0.55,3,20,推論價格崩跌,DeepSeek V4 Flash（2026 年 4 月）以 MIT 授權推出 1M token 脈絡、$0.14/Mtok，使整套語料庫的批次工作便宜 10-50 倍，創造出一年前並不存在的跨場域套利空間。
local_edge_models__onprem_ai_appliance_regulated_smb,受監管中小企業的私有 AI 主機,模型與運算,本機、邊緣與裝置端 AI,5.64,5,8,5,6,5,7,7,0.55,6,35,,Gemma 4 26B 能在任何 M 系列 Mac 上以 2GB RAM 執行（2026 年 7 月），加上 DGX Spark 等級 $3-4k 的硬體，讓 2 人公司首度能部署可信的私有大型語言模型。
local_edge_models__offline_field_copilots,斷網產業的離線現場輔助工具,模型與運算,本機、邊緣與裝置端 AI,5.64,4,7,7,6,5,7,7,0.45,3,30,,2025 年 9 月至 2026 年 8 月間，完整多模態堆疊（視覺＋語音辨識＋大型語言模型）在手機等級硬體上真正具備實用能力（Gemma 4 邊緣版本，手機上 50-70 tok/s），首度打開無連網垂直產業
specialized_models__tabular_fm_apps,表格式基礎模型預測產品,模型與運算,小型與領域專用模型,5.64,4,6,7,7,5,6,7,0.5,3,15,,TabPFN-v2 發表於《Nature》（2025 年 1 月），證明表格式基礎模型勝過傳統機器學習，而 Prior Labs 於 2026 年被 SAP 吸收，移除了領先的獨立業者，重新打開了應用層。
specialized_models__edge_oem_slm_stack,裝置 OEM 的邊緣 AI 模型堆疊,模型與運算,小型與領域專用模型,5.64,4,7,6,6,6,6,8,0.5,3,20,,Gemma 4 邊緣版本（2026 年 4 月）與已獲驗證的混合路由——68k 參數的信心探針只把 15-35% 的查詢送往雲端且品質相當（Cactus Hybrid，2026 年 7 月）——讓離線優先的產
retrieval_context_data__agent_readiness_middleware,代理就緒中介軟體與爬取變現,資料、評測與 AI 品質,檢索增強與資料管線,5.64,1,9,7,7,5,7,9,0.45,0.1,15,MCP 標準化,無狀態 MCP 規格（2026 年 7 月 28 日）加上 Cloudflare 的按次爬取付費（不公開測試版，以 402 為基礎的爬蟲付款），在過去一年內同時建立了供給標準與變現軌道。
voice_platforms__onprem_regulated_voice,受監管辦公場域的地端語音 AI,語音與通訊,語音代理平台與設施,5.64,3,7,7,7,5,7,7,0.5,1.5,20,語音跨過可用門檻,開源語音在過去 8 個月內壓縮到可本地運行的水準：Qwen3-TTS 於 2026 年 1 月開源、KittenTTS 於 2026 年 3 月以 <25MB 達到 SOTA、macOS 26 原生語音 API 於 20
marketing_creative_ops__synthetic_content_provenance_ops,品牌合成內容揭露與來源證明,銷售、行銷與客服,行銷、內容與品牌維運,5.64,2,9,7,7,5,7,7,0.5,0.3,15,歐盟《AI 法案》上路; 深偽與信任危機,歐盟《AI 法案》第 50 條的機器可讀標記與深偽揭露義務自 2026 年 8 月 2 日起適用，疊加在美國約 30 部州級深偽法規與 TAKE IT DOWN Act（平台義務可執行
marketing_creative_ops__aeo_agent_channel_ops,答案引擎與代理通路品牌維運,銷售、行銷與客服,行銷、內容與品牌維運,5.64,6,9,3,7,5,7,5,0.5,15,8,MCP 標準化; 代理支付軌道成形,AI 搜尋在 2025 年間達到每日約 100M+ 使用者，代理商務軌道也在 2026 年標準化（2026 年 7 月的 MCP 無狀態規格、AP2/Mastercard Agent Pay 上線）——能見度這條預算項目
tax_audit__einvoicing_mandate_layer,中型市場電子發票法規合規層,財務、法務與法遵,稅務與審計,5.64,5,10,4,5,6,7,7,0.45,8.0,45,,法國 B2B 電子發票接收義務自 2026 年 9 月生效、開立義務於 2027 年分階段上路，歐盟 ViDA（2025 年通過）也在各會員國鎖定數位申報要求——這是一道合規懸崖，中型
insurance_ops__policyholder_claims_advocacy,保戶端 AI 理賠倡議,財務、法務與法遵,保險營運,5.64,4,8,7,6,5,7,6,0.45,3,20,,多模態損害估算加上長脈絡保單閱讀在 2025 年變得可靠，正好碰上 2025-26 年加州保險公司撤出市場與野火理賠爭議，催生出看得見的保戶需求。
recruiting_talent__interview_integrity,遠端招募的求職者造假防禦,人才、人資與工作,招募與人才,5.64,3,9,6,7,6,5,7,0.5,2,30,深偽與信任危機,美國司法部對北韓假 IT 人員的起訴，加上 Gartner 2025 年預測 2028 年將有 25% 的求職者檔案為假，讓面試造假在 2025-26 年從軼事變成一條明確的預算科目。
recruiting_talent__hiring_ai_compliance,招募 AI 的法遵與偏誤稽核基礎層,人才、人資與工作,招募與人才,5.64,2,9,6,6,6,7,9,0.6,0.5,25,歐盟《AI 法案》上路; 美國各州 AI 立法,歐盟《AI 法案》針對就業 AI 的高風險規範（附件三）已於 2026 年 8 月 2 日、也就是三週前開始適用，而多數中型市場部署者還不清楚哪些廠商功能會讓自己成為受規範的
rcm_prior_auth__voice_agents_payer_calls,支付方電話作業語音代理,醫療與健康照護,營收循環、帳務與事前授權,5.64,6,7,4,7,4,9,5,0.55,12,20,語音跨過可用門檻,即時語音模型在 2024-25 年變得夠可靠也夠便宜，足以支撐數小時的支付方通話（GPT-4o-realtime 等級 API）；每次模型迭代都在壓低每通完成通話的成本。
patient_access__chronic_checkin_agents,慢性病關懷追蹤與服藥語音代理,醫療與健康照護,病患接觸與互動,5.64,7,7,4,5,6,8,5,0.6,26.4,40,語音跨過可用門檻; AI 科學家登場; 人口高齡化,2024-25 年的語音模型讓具同理心、多輪且長者可接受的通話變得可行（Hippocratic 的崛起就是證據），而 CMS 照護管理代碼提供了現成的預算科目。
retail_hospitality__hotel_group_sales_agent,旅館團體業務與活動 RFP 代理,垂直產業（建築與商業）,零售、餐飲與旅宿,5.64,5,6,5,7,5,7,7,0.5,5,20,,代理式多步驟文件工作流程（輸入 RFP、輸出含報價的提案）在過去 12 個月變得可靠，Canary 於 2026 年推出「Agentic Sales Coordinator」也驗證了這個品類，同時
education__nursing_clinical_sim,護理學校的 AI 臨床模擬帶教,垂直產業（建築與商業）,教育與培訓機構,5.64,3,8,6,6,6,8,7,0.5,2,20,語音跨過可用門檻; 勞動力短缺,"2025-26 年的即時語音模型終於讓逼真的模擬病人變得便宜，而 AACN（2025 年 10 月）同時通報有 92,672 份合格護理入學申請遭婉拒、1,588 個師資職缺（缺額率 7.2%）"
personal_agents__life_admin_calls,生活雜務電話與申訴代理,消費者 AI,個人代理與 AI 原生工具,5.64,5,7,4,8,4,7,7,0.5,6,15,代理支付軌道成形; 語音跨過可用門檻,55ms 延遲、可容忍插話的語音（Sparrow-1，2026 年 1 月），加上已上線的代理支付軌（Mastercard Agent Pay 已在 10+ 個市場，AP2 於 2026 年 4 月進入 FIDO），首度
audio_music__pro_sound_post,電影、電視與遊戲的代理式聲音後製,創意與娛樂,音樂與音訊,5.62,5,6,7,6,6,8,7,0.5,5.0,40,語音跨過可用門檻,音訊生成模型在過去約 12 個月內，於音效與對白修復上跨越了可廣播的品質門檻，而開源低成本音訊技術堆疊（Qwen3-TTS 於 2026 年 1 月開源、VibeVoice 於 2026 年 4 月推出）讓
gaming_3d__qa_playtest_agents,遊戲工作室代理式 QA 與試玩機器人,創意與娛樂,遊戲與 3D 世界,5.62,4,7,6,6,7,8,8,0.55,3.0,40,電腦操作成本大降,電腦操作／視覺語言模型代理在 2026 年變得夠可靠，能僅憑像素、以自然語言任務目標（「完成教學關」）驅動任意遊戲版本，且不需引擎 SDK——modl.ai 現在主打的正是
agent_reliability__compliance_grade_agent_logging,監理級代理紀錄與事故舉證流水線,AI 代理基礎設施,代理可觀測性與可靠度,5.59,3,10,5,6,6,7,7,0.5,1.5,20,歐盟《AI 法案》上路; 美國各州 AI 立法,歐盟《AI 法案》高風險義務（紀錄保存、人為監督、事故通報）自 2026 年 8 月 2 日適用，科羅拉多州 SB 24-205 也於 2026 年 6 月 30 日生效 — 部署者三週前才變成受監管對象，而尚無代理
tool_integration__stateless_mcp_hosting,無狀態 MCP 託管平台（MCP 版 Vercel）,AI 代理基礎設施,工具整合與 MCP 生態,5.59,2,9,5,8,4,7,9,0.5,0.5,15,MCP 標準化,MCP 規格在 2026-07-28 全面轉為無狀態（移除交握／連線階段、清單可快取、CIMD 認證），MCP 伺服器如今可像一般網頁基礎設施一樣部署——託管層在數週前才被重置，需求
enterprise_knowledge__living_sops,從工作軌跡自動更新的 SOP,搜尋、知識與研究,企業搜尋與知識管理,5.59,5,7,4,8,5,7,5,0.5,5,10,推論價格崩跌,百萬 token、每百萬 token $0.14 等級的模型（DeepSeek V4 Flash，2026 年 4-5 月；Gemini Flash 系列）讓持續重讀全公司工作軌跡在經濟上變得微不足道——既有文件工具仍需
pricing_revops__smb_services_dynamic_pricing,在地服務中小企業的動態定價,銷售、行銷與客服,定價、營收維運與變現,5.59,4,6,6,8,5,7,5,0.5,3.0,10,,PriceLabs 證明中小企業願意為演算法定價付費（2026 年每日為 600k 個房源定價），而 2024-25 年的大型語言模型讓雜亂的中小企業資料（價目本、發票、競品網站）擷取成本低到足以把這套做法延伸
